TaxonID	3847	
Sat_087	Seed set, 3 per pod 1-1	Seed set, 3 per pod
Sat_087	Seed set, 4 per pod 1-1	Seed set, 4 per pod
Sat_088	Seed glycitein 2-5	Seed glycitein
Sat_088	Seed oil 24-12	Seed oil
Sat_089	Canopy wilt 6-3	Canopy wilt
Sat_089	Phytoph 6-3	Phytoph
Sat_090	Plant height 23-5	Plant height
Sat_090	Plant P 2-1	Plant P
Sat_090	Seed protein 26-11	Seed protein
Sat_090	Seed stearic 3-1	Seed stearic
Sat_090	Seed tocopherol, delta 3-3	Seed tocopherol, delta
Sat_090	Seed tocopherol, total 3-4	Seed tocopherol, total
Sat_091	Drought tolerance 6-1	Drought tolerance
Sat_091	Plant weight 3-1	Plant weight
Sat_091	Pod wall to Pod weight ratio 1-5	Pod wall to Pod weight ratio
Sat_091	Pod weight 1-3	Pod weight
Sat_091	Root morphology 1-2	Root morphology
Sat_091	Salt tolerance 1-1	Salt tolerance
Sat_091	Salt tolerance 3-1	Salt tolerance
Sat_091	Salt tolerance 3-2	Salt tolerance
Sat_091	Salt tolerance 3-3	Salt tolerance
Sat_091	Salt tolerance 3-4	Salt tolerance
Sat_091	Seed phytate 2-1	Seed phytate
Sat_091	Seed protein 36-37	Seed protein
Sat_091	Seed weight 25-3	Seed weight
Sat_091	Seed weight per plant 1-4	Seed weight per plant
Sat_092	Canopy wilt 6-4	Canopy wilt
Sat_092	Chlorosis, leaflet Mn induced 1-2	Chlorosis, leaflet Mn induced
Sat_092	Chlorosis, leaflet Mn induced 1-2	Chlorosis, leaflet Mn induced
Sat_092	Seed glycitein 8-8	Seed glycitein
Sat_092	Seed palmitic 4-3	Seed palmitic
Sat_093	Pod dehiscence 2-1	Pod dehiscence
Sat_094	Plant height 26-14	Plant height
Sat_094	Plant height 26-14	Plant height
Sat_094	Seed protein 34-9	Seed protein
Sat_095	mqPlant height-003	Plant height
Sat_095	Seed oil 24-14	Seed oil
Sat_095	Seed weight 10-3	Seed weight
Sat_096	Canopy wilt 6-1	Canopy wilt
Sat_096	Lodging 7-1	Lodging
Sat_096	mqCanopy wilt-002	Canopy wilt
Sat_096	Plant height 9-3	Plant height
Sat_096	Seed daidzein 13-10	Seed daidzein
Sat_096	Seed width 1-9	Seed width
Sat_096	Seed width 1-9	Seed width
Sat_097	Row spacing response 3-4	Row spacing response
Sat_099	Canopy wilt 6-2	Canopy wilt
Sat_099	First flower 22-3	First flower
Sat_099	First flower 22-3	First flower
Sat_099	Photoperiod insensitivity 3-2	Photoperiod insensitivity
Sat_099	Phytoph 13-1	Phytoph
Sat_099	Pod number 10-1	Pod number
Sat_099	Reproductive stage length 4-5	Reproductive stage length
Sat_099	SDS 9-1	SDS
Sat_099	Seed length 1-11	Seed length
Sat_099	Seed length 1-11	Seed length
Sat_099	Seed phytate 2-2	Seed phytate
Sat_099	Seed set 1-4	Seed set
Sat_099	Seed set, 2 or 3 per pod 1-1	Seed set, 2 or 3 per pod
Sat_099	Seed weight 7-7	Seed weight
Sat_103	Plant height to Lodging ratio 2-2	Plant height to Lodging ratio
Sat_103	Seed daidzein 11-2	Seed daidzein
Sat_103	Seed weight 49-14	Seed weight
Sat_104	Fe effic 13-3	Fe effic
Sat_104	Fe effic 13-3	Fe effic
Sat_104	Internode length 2-7	Internode length
Sat_104	SDS 15-6	SDS
Sat_105	mqSeed Oil-020	Seed Oil
Sat_105	Seed isoflavone 11-18	Seed isoflavone
Sat_105	Seed oil 24-30	Seed oil
Sat_105	Seed weight 50-13	Seed weight
Sat_106	Seed daidzein 6-2	Seed daidzein
Sat_107	Pubescence density 2-13	Pubescence density
Sat_107	Pubescence density 2-6	Pubescence density
Sat_108	Leaflet chlorophyll 2-1	Leaflet chlorophyll
Sat_108	Pod maturity 13-8	Pod maturity
Sat_108	Sclero 6-13	Sclero
Sat_108	Seed linoleic 6-7	Seed linoleic
Sat_108	Seed oleic 6-10	Seed oleic
Sat_108	Seed set 3-1	Seed set
Sat_108	Seed weight per plant 3-2	Seed weight per plant
Sat_109	Sclero 2-24	Sclero
Sat_109	Sclero 3-19	Sclero
Sat_109	Sclero 4-11	Sclero
Sat_109	Sclero 5-16	Sclero
Sat_109	Sclero 6-13	Sclero
Sat_109	Seed oil 29-3	Seed oil
Sat_109	Seed weight 36-8	Seed weight
Sat_112	Corn earworm 7-1	Corn earworm
Sat_112	Leaflet length 3-1	Leaflet length
Sat_112	Seed genistein 7-4	Seed genistein
Sat_112	Seed glycitein 7-2	Seed glycitein
Sat_112	Seed isoflavone 6-3	Seed isoflavone
Sat_112	Seed length 1-1	Seed length
Sat_112	Seed length 1-1	Seed length
Sat_112	Seed volume 1-1	Seed volume
Sat_112	Seed volume 1-1	Seed volume
Sat_113	First flower 4-3	First flower
Sat_113	Internode length 2-6	Internode length
Sat_113	Plant height to Lodging ratio 2-4	Plant height to Lodging ratio
Sat_113	Pod maturity 24-10	Pod maturity
Sat_113	Seed daidzein 7-6	Seed daidzein
Sat_113	Seed genistein 11-6	Seed genistein
Sat_113	Seed genistein 13-9	Seed genistein
Sat_113	Seed genistein 7-7	Seed genistein
Sat_113	Seed isoflavone 11-13	Seed isoflavone
Sat_113	Seed oil 24-7	Seed oil
Sat_113	Seed set 1-8	Seed set
Sat_113	Seed set, 2 or 3 per pod 1-1	Seed set, 2 or 3 per pod
Sat_113	Seed set, 4 per pod 1-4	Seed set, 4 per pod
Sat_113	Seed total isoflavone 9-7	Seed total isoflavone
Sat_113	Seed weight 17-1	Seed weight
Sat_114	Seed oil 24-8	Seed oil
Sat_115	Seed protein 34-4	Seed protein
Sat_117	Plant height 33-8	Plant height
Sat_117	Plant height 34-8	Plant height
Sat_117	Pod maturity 27-5	Pod maturity
Sat_117	Pod maturity 29-5	Pod maturity
Sat_117	Seed glycitein 7-4	Seed glycitein
Sat_117	Seed set, 1 per pod 1-1	Seed set, 1 per pod
Sat_117	Seed yield 27-3	Seed yield
Sat_117	Seed yield 30-3	Seed yield
Sat_118	P use efficiency 1-4	P use efficiency
Sat_118	Plant P 3-6	Plant P
Sat_118	Plant weight, dry 1-1	Plant weight, dry
Sat_119	Seed cadmium 1-1	Seed cadmium
Sat_119	Seed genistein 8-8	Seed genistein
Sat_119	Seed protein 40-3	Seed protein
Sat_120	Lodging 27-6	Lodging
Sat_120	Seed oil 38-4	Seed oil
Sat_120	Seed weight 40-1	Seed weight
Sat_120	Seed weight 49-13	Seed weight
Sat_120	Seed weight 49-14	Seed weight
Sat_120	Seed yield 28-11	Seed yield
Sat_121	Plant height 37-5	Plant height
Sat_121	Plant height 37-6	Plant height
Sat_121	Pod maturity 34-6	Pod maturity
Sat_121	SDS 16-2	SDS
Sat_121	Seed weight per plant 6-9	Seed weight per plant
Sat_122	Corn earworm 9-3	Corn earworm
Sat_122	Seed protein 47-3	Seed protein
Sat_123	Lodging 20-3	Lodging
Sat_123	Nodule weight per plant, dry 1-9	Nodule weight per plant, dry
Sat_123	Nodule weight, dry 1-1	Nodule weight, dry
Sat_123	Pod maturity 22-2	Pod maturity
Sat_123	Reproductive period 1-2	Reproductive period
Sat_123	SCN 17-1	SCN
Sat_123	SCN 18-2	SCN
Sat_123	SCN 20-1	SCN
Sat_123	Seed protein 26-6	Seed protein
Sat_123	Seed tocopherol, delta 3-5	Seed tocopherol, delta
Sat_123	Seed weight 34-14	Seed weight
Sat_123	Seed weight 35-9	Seed weight
Sat_124	Asian Soybean Rust 2-4	Asian Soybean Rust
Sat_124	Flower number 1-7	Flower number
Sat_124	Seed genistein 11-3	Seed genistein
Sat_124	Seed glycitein 11-3	Seed glycitein
Sat_124	Seed glycitein 13-4	Seed glycitein
Sat_124	Seed isoflavone 11-10	Seed isoflavone
Sat_124	Seed total isoflavone 9-2	Seed total isoflavone
Sat_125	Seed genistein 13-1	Seed genistein
Sat_125	Seed tocopherol, total 1-4	Seed tocopherol, total
Sat_126	Lodging 24-2	Lodging
Sat_126	Lodging 27-4	Lodging
Sat_126	Plant height 30-3	Plant height
Sat_126	Plant height 35-3	Plant height
Sat_126	Pod maturity 28-5	Pod maturity
Sat_126	Pod number 7-3	Pod number
Sat_126	Pods per node 3-4	Pods per node
Sat_126	Seed yield 25-7	Seed yield
Sat_126	Seed yield 28-8	Seed yield
Sat_127	Seed linolenic 9-3	Seed linolenic
Sat_128	Al tolerance 3-1	Al tolerance
Sat_128	Al tolerance 3-5	Al tolerance
Sat_128	Al tolerance 3-7	Al tolerance
Sat_128	Pod maturity 18-2	Pod maturity
Sat_128	Root area 1-1	Root area
Sat_128	Root length, primary 1-1	Root length, primary
Sat_128	Seed isoflavone 11-16	Seed isoflavone
Sat_128	Seed weight 20-1	Seed weight
Sat_128	Seed weight 20-4	Seed weight
Sat_128	Shoot weight 1-2	Shoot weight
Sat_129	Reproductive period 1-5	Reproductive period
Sat_129	Seed oil 30-3	Seed oil
Sat_131	Branching 3-5	Branching
Sat_132	Seed linoleic 10-4	Seed linoleic
Sat_132	Seed oleic 9-3	Seed oleic
Sat_132	Seed palmitic 4-5	Seed palmitic
Sat_132	Seed stearic 8-9	Seed stearic
Sat_132	Seed yield 22-19	Seed yield
Sat_133	Phytoph 14-2	Phytoph
Sat_133	Plant height 40-2	Plant height
Sat_133	Pod maturity 24-2	Pod maturity
Sat_133	Seed abortion 1-5	Seed abortion
Sat_133	Seed abortion 1-7	Seed abortion
Sat_133	Seed linoleic 6-9	Seed linoleic
Sat_133	Seed oleic 6-12	Seed oleic
Sat_133	Seed set 1-2	Seed set
Sat_134	Flood tolerance 6-2	Flood tolerance
Sat_134	Sclero 5-11	Sclero
Sat_134	Seed oil 43-23	Seed oil
Sat_135	First flower 13-2	First flower
sat_135	Seed length 5-2	Seed length
Sat_135	Seed protein 27-1	Seed protein
Sat_135	Seed protein 40-5	Seed protein
Sat_135	Seed set, 2 per pod 1-1	Seed set, 2 per pod
Sat_135	Seed tocopherol, alpha 3-6	Seed tocopherol, alpha
Sat_136	Seed genistein 13-11	Seed genistein
Sat_136	Seed glycitein 13-5	Seed glycitein
Sat_136	Seed weight 32-2	Seed weight
Sat_137	Seed fragrance 1-1	Seed fragrance
Sat_137	Seed oil 36-1	Seed oil
Sat_137	Seed palmitic 7-1	Seed palmitic
Sat_137	Seed stearic 6-1	Seed stearic
Sat_138	Sclero 8-1	Sclero
Sat_139	SDS 15-4	SDS
Sat_139	Seed genistein 6-4	Seed genistein
Sat_139	Seed isoflavone 5-2	Seed isoflavone
Sat_140	Branching 4-3	Branching
Sat_140	Branching 4-4	Branching
Sat_140	SCN 36-6	SCN
Sat_140	SCN 39-10	SCN
Sat_140	Seed Cys 3-2	Seed Cys
Sat_140	Seed genistein 6-3	Seed genistein
Sat_140	Seed glycitein 9-4	Seed glycitein
Sat_140	Seed isoflavone 5-1	Seed isoflavone
Sat_140	Seed Met 3-2	Seed Met
Sat_140	Seed oil 39-3	Seed oil
Sat_140	Seed weight per plant 6-2	Seed weight per plant
Sat_140	Seed weight per plant 6-3	Seed weight per plant
Sat_141	SCN 32-1	SCN
Sat_141	SCN 32-1	SCN
Sat_141	SCN 42-4	SCN
Sat_142	Total growth duration 1-4	Total growth duration
Sat_142	Vegetative period 1-1	Vegetative period
Sat_143	mqSeed Oil-016	Seed Oil
Sat_143	Seed glycitein 8-5	Seed glycitein
Sat_143	Seed oil 24-26	Seed oil
Sat_143	Seed weight per plant 6-8	Seed weight per plant
Sat_147	Seed daidzein 6-4	Seed daidzein
Sat_148	Seed yield 22-15	Seed yield
Sat_148	Seed yield 22-16	Seed yield
Sat_149	mqPlant height-002	Plant height
Sat_150	Reproductive stage length 5-6	Reproductive stage length
Sat_153	Node number 5-1	Node number
Sat_153	Seed length 3-1	Seed length
Sat_153	Seed weight 33-1	Seed weight
Sat_153	Seed width 3-1	Seed width
Sat_154	Flooding yield index 1-1	Flooding yield index
Sat_155	Flower number 1-11	Flower number
Sat_155	Pod number 1-10	Pod number
Sat_156	Branching 3-3	Branching
Sat_156	mqPlant height-001	Plant height
Sat_156	Seed protein 34-7	Seed protein
Sat_157	SCN 36-1	SCN
Sat_157	SCN 36-2	SCN
Sat_157	SCN 40-1	SCN
Sat_157	SCN 42-1	SCN
Sat_159	mqPlant height-005	Plant height
Sat_160	Leaflet chlorophyll 1-4	Leaflet chlorophyll
Sat_160	Seed conglycinin, beta 2-1	Seed conglycinin, beta
Sat_160	Seed glycinin 2-2	Seed glycinin
Sat_160	Seed glycinin plus beta-conglycinin 1-1	Seed glycinin plus beta-conglycinin
Sat_162	Chlorophyll flourescence ABS/RC 1-1	Chlorophyll flourescence ABS/RC
Sat_162	Chlorophyll flourescence ETo/TRo 1-1	Chlorophyll flourescence ETo/TRo
Sat_162	Chlorophyll flourescence PIabs 1-1	Chlorophyll flourescence PIabs
Sat_162	Chlorophyll flourescence TRo/ABS 1-1	Chlorophyll flourescence TRo/ABS
Sat_162	Internode length 1-14	Internode length
Sat_162	Internode length 1-14	Internode length
Sat_162	SCN 42-1	SCN
Sat_162	SDS 15-2	SDS
Sat_162	SDS 15-3	SDS
Sat_162	Seed coat color 3-1	Seed coat color
sat_162	Seed length 5-1	Seed length
Sat_162	Seed oil 30-2	Seed oil
Sat_163	SCN 42-2	SCN
Sat_164	Reproductive period 1-3	Reproductive period
Sat_164	Seed linoleic 8-1	Seed linoleic
Sat_164	Seed linolenic 11-6	Seed linolenic
Sat_164	Seed oleic 8-2	Seed oleic
Sat_164	Seed palmitic 8-3	Seed palmitic
Sat_164	Seed yield 22-18	Seed yield
Sat_165	Seed height to width ratio 1-2	Seed height to width ratio
Sat_168	mqPlant height-007	Plant height
Sat_168	SCN 36-3	SCN
Sat_168	SCN 36-4	SCN
Sat_168	SCN 36-5	SCN
Sat_168	SCN 47-1	SCN
Sat_168	SCN 48-3	SCN
Sat_170	Seed hardness 2-11	Seed hardness
Sat_170	Seed stearic 8-4	Seed stearic
Sat_170	Seed tocopherol, delta 2-3	Seed tocopherol, delta
Sat_171	Drought index 1-7	Drought index
Sat_171	Plant height 37-1	Plant height
Sat_171	SDS 15-8	SDS
Sat_174	Seed calcium 1-2	Seed calcium
Sat_175	Drought tolerance 6-4	Drought tolerance
Sat_175	Flood tolerance 7-1	Flood tolerance
Sat_175	Reproductive to vegetative period ratio 1-3	Reproductive to vegetative period ratio
Sat_177	Flower number 1-6	Flower number
Sat_177	Root area 2-2	Root area
Sat_177	Root diameter change 1-2	Root diameter change
Sat_177	Root length 1-4	Root length
Sat_177	Seed tocopherol, alpha 1-1	Seed tocopherol, alpha
Sat_177	Seed tocopherol, alpha 2-1	Seed tocopherol, alpha
Sat_181	Seed weight 34-13	Seed weight
Sat_181	Stem strength, main 1-2	Stem strength, main
Sat_183	Seed weight 50-12	Seed weight
Sat_185	P use efficiency 1-3	P use efficiency
Sat_185	Plant P 3-3	Plant P
Sat_185	Plant weight, dry 1-3	Plant weight, dry
Sat_185	Shoot weight, dry 4-4	Shoot weight, dry
Sat_187	Seed conglycinin, beta 2-5	Seed conglycinin, beta
Sat_189	Canopy wilt 2-5	Canopy wilt
Sat_189	Seed oil 43-2	Seed oil
Sat_189	Seed protein 36-3	Seed protein
Sat_189	Seed stearic 5-1	Seed stearic
Sat_194	Plant P 3-1	Plant P
Sat_195	Seed protein 34-10	Seed protein
Sat_196	Chlorophyll flourescence ABS/RC 1-2	Chlorophyll flourescence ABS/RC
Sat_196	Chlorophyll flourescence ETo/TRo 1-3	Chlorophyll flourescence ETo/TRo
Sat_196	Chlorophyll flourescence PIabs 1-3	Chlorophyll flourescence PIabs
Sat_196	Seed glycinin plus beta-conglycinin 1-9	Seed glycinin plus beta-conglycinin
Sat_196	Seed yield 22-19	Seed yield
Sat_197	mqPlant height-006	Plant height
Sat_197	Seed genistein 7-5	Seed genistein
Sat_197	Stem strength, main 1-8	Stem strength, main
Sat_198	cqSeed oil-014	Seed oil
Sat_199	Root weight, dry 3-1	Root weight, dry
Sat_201	Seed tocopherol, delta 2-1	Seed tocopherol, delta
Sat_203	P use efficiency 1-3	P use efficiency
Sat_206	Seed weight 50-15	Seed weight
Sat_207	Flower number 1-3	Flower number
Sat_207	SCN 36-7	SCN
Sat_210	Reproductive period photo-thermal sensitivity 1-1	Reproductive period photo-thermal sensitivity
Sat_210	SCN 37-3	SCN
Sat_213	Seed protein 34-2	Seed protein
Sat_215	Pod number 1-4	Pod number
Sat_215	Seed coat color 2-1	Seed coat color
Sat_215	Seed daidzein 8-4	Seed daidzein
Sat_215	Seed glycitein 8-9	Seed glycitein
Sat_215	Seed isoflavone 7-1	Seed isoflavone
Sat_215	Seed protein 34-5	Seed protein
Sat_217	Plant height 37-1	Plant height
Sat_217	Seed genistein 9-1	Seed genistein
Sat_217	Seed linoleic 6-5	Seed linoleic
Sat_217	Seed oil 35-1	Seed oil
Sat_217	Seed oil 35-2	Seed oil
Sat_218	Bean pyralid 1-5	Bean pyralid
Sat_218	Common cutworm 2-2	Common cutworm
Sat_218	Flood tolerance 7-1	Flood tolerance
Sat_219	Flower form 1-3	Flower form
Sat_219	Flower form 1-3	Flower form
Sat_219	mqSeed Oil-020	Seed Oil
Sat_219	Seed oil 24-30	Seed oil
Sat_221	SDS 16-7	SDS
Sat_221	Seed genistein 11-7	Seed genistein
Sat_221	Seed isoflavone 11-6	Seed isoflavone
Sat_221	Seed total isoflavone 9-10	Seed total isoflavone
Sat_222	cqSDS-001	SDS
Sat_222	Seed conglycinin, beta 2-3	Seed conglycinin, beta
Sat_222	Seed oil 39-7	Seed oil
Sat_223	Seed glycinin to beta-conglycinin ratio 1-5	Seed glycinin to beta-conglycinin ratio
Sat_223	Seed yield 22-17	Seed yield
Sat_224	Photoperiod insensitivity 5-4	Photoperiod insensitivity
Sat_224	SCN 29-2	SCN
Sat_224	SCN 29-6	SCN
Sat_224	Seed hardness 2-9	Seed hardness
Sat_224	Seed length 4-5	Seed length
Sat_224	Seed length to width ratio 1-9	Seed length to width ratio
Sat_224:J:75.12	SCN 45-2	SCN
Sat_226	Pod maturity 24-7	Pod maturity
Sat_226	Seed oleic 6-7	Seed oleic
Sat_228	Seed palmitic 6-5	Seed palmitic
Sat_229	Seed weight 42-3	Seed weight
Sat_231	Seed linolenic 6-7	Seed linolenic
Sat_231	Seed oil 29-3	Seed oil
Sat_232	Chlorophyll flourescence REo/Eto 1-1	Chlorophyll flourescence REo/Eto
Sat_232	Fusarium lesion length 1-1	Fusarium lesion length
Sat_234	Seed genistein 11-4	Seed genistein
Sat_234	Seed genistein 13-7	Seed genistein
Sat_235	Seed weight 50-2	Seed weight
Sat_238	Pod maturity 34-2	Pod maturity
Sat_238	Sclero 7-1	Sclero
Sat_238	Seed glycitein 8-11	Seed glycitein
Sat_239	Pod number 1-2	Pod number
Sat_239	Seed daidzein 13-1	Seed daidzein
Sat_239	Seed genistein 13-1	Seed genistein
Sat_239	Seed glycitein 13-7	Seed glycitein
Sat_239	Seed isoflavone 11-14	Seed isoflavone
Sat_240	Seed oil 36-4	Seed oil
Sat_240	Seed palmitic 7-2	Seed palmitic
Sat_240	Seed palmitic 7-4	Seed palmitic
Sat_244	mqPlant height-012	Plant height
Sat_244	Rag 3-1	Rag
Sat_244	Seed glycitein 11-7	Seed glycitein
Sat_244	Seed glycitein 13-1	Seed glycitein
Sat_244	Seed isoflavone 11-4	Seed isoflavone
Sat_244	Seed total isoflavone 9-9	Seed total isoflavone
Sat_245	Reproductive stage length 7-4	Reproductive stage length
Sat_245	Seed conglycinin, beta 2-6	Seed conglycinin, beta
Sat_245	Seed yield 22-9	Seed yield
Sat_246	Pod maturity 34-1	Pod maturity
Sat_246	Seed weight per plant 6-1	Seed weight per plant
Sat_247	Seed daidzein 5-3	Seed daidzein
Sat_247	Seed genistein 5-4	Seed genistein
Sat_247	Seed glycitein 5-3	Seed glycitein
Sat_247	Seed isoflavone 3-4	Seed isoflavone
Sat_251	P use efficiency 1-5	P use efficiency
Sat_251	Root weight, dry 3-3	Root weight, dry
Sat_251	Seed glycinin to beta-conglycinin ratio 1-1	Seed glycinin to beta-conglycinin ratio
Sat_252	Photoperiod insensitivity 5-1	Photoperiod insensitivity
Sat_252	Seed daidzein 11-1	Seed daidzein
Sat_252	Seed daidzein 13-2	Seed daidzein
Sat_254	Canopy wilt 2-1	Canopy wilt
Sat_254	Leaflet chlorophyll 1-5	Leaflet chlorophyll
Sat_254	Seed width 4-1	Seed width
Sat_256	Pod maturity 24-7	Pod maturity
Sat_258	Leaflet chlorophyll 1-16	Leaflet chlorophyll
Sat_258	Seed thickness 1-5	Seed thickness
Sat_258	Seed thickness 1-6	Seed thickness
Sat_258	Seed yield 22-16	Seed yield
Sat_258	Vegetative period 1-2	Vegetative period
Sat_260	Seed protein 34-9	Seed protein
Sat_262	Seed daidzein 11-2	Seed daidzein
Sat_262	Seed protein 36-19	Seed protein
Sat_262	Seed protein 36-22	Seed protein
Sat_262	Seed tocopherol, delta 1-3	Seed tocopherol, delta
Sat_262	Seed tocopherol, delta 2-2	Seed tocopherol, delta
Sat_264	Canopy wilt 1-2	Canopy wilt
Sat_264	Flower number 1-6	Flower number
Sat_267	Nodule size 1-2	Nodule size
Sat_267	Nodule size 1-3	Nodule size
Sat_267	SDS 15-8	SDS
Sat_267	Seed yield 22-10	Seed yield
Sat_268	Phytoph 14-10	Phytoph
Sat_268	Pod maturity 24-8	Pod maturity
Sat_268	SDS 15-6	SDS
Sat_268	Seed oil 43-18	Seed oil
Sat_270	Pod maturity 24-6	Pod maturity
Sat_271	Indo soy dwarf virus 1-1	Indo soy dwarf virus
Sat_271	Seed daidzein 7-1	Seed daidzein
Sat_271	Seed daidzein 8-3	Seed daidzein
Sat_271	Seed daidzein 9-1	Seed daidzein
Sat_271	Seed genistein 7-1	Seed genistein
Sat_271	Seed glycitein 6-1	Seed glycitein
Sat_271	Seed isoflavone 6-1	Seed isoflavone
Sat_271	Seed isoflavone 7-5	Seed isoflavone
Sat_271	Whitefly resistance 1-5	Whitefly resistance
Sat_273	Plant weight, dry 1-6	Plant weight, dry
Sat_273	Seed coat hardness 2-3	Seed coat hardness
Sat_273	Seed oleic 6-6	Seed oleic
Sat_273	Seed protein 39-2	Seed protein
Sat_273	Shoot weight, dry 4-5	Shoot weight, dry
Sat_274	Chlorophyll flourescence REo/Eto 1-2	Chlorophyll flourescence REo/Eto
Sat_274	Phytoph 5-3	Phytoph
Sat_274	SCN 37-1	SCN
Sat_274	Seed length 4-4	Seed length
Sat_274	Seed length to thickness ratio 1-2	Seed length to thickness ratio
Sat_274	Seed length to width ratio 1-7	Seed length to width ratio
Sat_274	Seed linolenic 9-4	Seed linolenic
Sat_274	Seed width 4-6	Seed width
Sat_275	SDS 13-10	SDS
Sat_275	Seed oil 43-30	Seed oil
Sat_275	Seed protein 36-34	Seed protein
Sat_279	Flood tolerance 7-4	Flood tolerance
Sat_279	mqCanopy wilt-016	Canopy wilt
Sat_279	Pod number 9-1	Pod number
Sat_279	Seed coat cracking 1-1	Seed coat cracking
Sat_279	Seed daidzein 7-3	Seed daidzein
Sat_279	Seed genistein 7-3	Seed genistein
Sat_279	Seed glycitein 6-3	Seed glycitein
Sat_279	Seed isoflavone 6-2	Seed isoflavone
Sat_279	Seed weight 42-1	Seed weight
Sat_280	SCN 33-7	SCN
Sat_280	SCN 33-7	SCN
Sat_280	Seed width to thickness ratio 1-2	Seed width to thickness ratio
Sat_282	Seed oil 43-33	Seed oil
Sat_282	Seed protein 36-40	Seed protein
Sat_284	Seed glycitein 7-5	Seed glycitein
Sat_284	Seed oil 37-1	Seed oil
Sat_286	Branching 3-2	Branching
Sat_286	First flower 24-3	First flower
Sat_286	Pod number 8-1	Pod number
Sat_286	SCN 29-7	SCN
Sat_286	Seed daidzein 7-6	Seed daidzein
Sat_286	Seed genistein 7-7	Seed genistein
Sat_286	Seed isoflavone 6-5	Seed isoflavone
Sat_286	Seed number 5-1	Seed number
Sat_286	Seed number 6-1	Seed number
Sat_286	Seed oil 43-26	Seed oil
Sat_286	Seed oil 43-28	Seed oil
Sat_286	Seed protein 36-31	Seed protein
Sat_286	Seed protein 36-32	Seed protein
Sat_286	Seed weight 42-4	Seed weight
Sat_286	Seed weight 43-4	Seed weight
Sat_286	Seed weight per plant 4-1	Seed weight per plant
Sat_286	Seed weight per plant 5-2	Seed weight per plant
Sat_286	Stem length, main 2-3	Stem length, main
Sat_286	Stem length, main 3-2	Stem length, main
Sat_286	Stem weight, dry 1-1	Stem weight, dry
Sat_286	Stem weight, dry 2-2	Stem weight, dry
Sat_286:L:87.41	SCN 45-5	SCN
Sat_287	Branching 4-2	Branching
Sat_287	Canopy wilt 1-2	Canopy wilt
Sat_287	Seed coat color 2-2	Seed coat color
Sat_288	Seed hardness 2-3	Seed hardness
Sat_289	Seed genistein 6-4	Seed genistein
Sat_289	Seed isoflavone 5-2	Seed isoflavone
Sat_289	Seed protein 37-4	Seed protein
Sat_290	SDS 13-9	SDS
Sat_291	Seed linolenic 6-6	Seed linolenic
Sat_292	Drought index 1-10	Drought index
Sat_292	mqSeed Oil-011	Seed Oil
Sat_292	Seed length to width ratio 1-10	Seed length to width ratio
Sat_292	Seed oil 24-22	Seed oil
Sat_293	Seed glycinin to beta-conglycinin ratio 1-2	Seed glycinin to beta-conglycinin ratio
Sat_293	Seed oil 36-8	Seed oil
Sat_293	Seed oil 43-22	Seed oil
Sat_293	Seed palmitic 7-8	Seed palmitic
Sat_293	Seed protein 36-28	Seed protein
Sat_293	Seed protein 36-29	Seed protein
Sat_294	Row spacing response 1-1	Row spacing response
Sat_294	Seed linolenic 7-2	Seed linolenic
Sat_294	Seed oleic 6-2	Seed oleic
Sat_295	Seed protein 36-35	Seed protein
Sat_296	Plant P 1-1	Plant P
Sat_296	Plant weight 1-1	Plant weight
Sat_297	Seed oil 36-5	Seed oil
Sat_297	Seed palmitic 7-5	Seed palmitic
Sat_297	Seed weight 19-2	Seed weight
Sat_298	Plant height 37-8	Plant height
Sat_298	Plant height 37-9	Plant height
Sat_298	Seed oil 36-4	Seed oil
Sat_298	Seed palmitic 7-2	Seed palmitic
Sat_298	Seed palmitic 7-4	Seed palmitic
Sat_299	Root morphology 1-5	Root morphology
Sat_299	SCN 39-12	SCN
Sat_299	Seed linoleic 6-4	Seed linoleic
Sat_299	Seed oil 43-18	Seed oil
Sat_299	Seed oleic 6-4	Seed oleic
Sat_300	Seed Cys 3-5	Seed Cys
Sat_300	Seed Met 3-5	Seed Met
Sat_300	Seed oleic 6-9	Seed oleic
Sat_300	Seed protein 37-5	Seed protein
Sat_301	Pod maturity 24-3	Pod maturity
Sat_301	Seed linolenic 7-1	Seed linolenic
Sat_301	Seed oil 43-24	Seed oil
Sat_303	Seed glycinin 2-6	Seed glycinin
Sat_303	Seed glycinin plus beta-conglycinin 1-8	Seed glycinin plus beta-conglycinin
Sat_303	Seed glycinin plus beta-conglycinin 1-9	Seed glycinin plus beta-conglycinin
Sat_303	Seed glycinin to beta-conglycinin ratio 1-3	Seed glycinin to beta-conglycinin ratio
Sat_304	mqSeed Oil-024	Seed Oil
Sat_304	Seed glycitein 11-4	Seed glycitein
Sat_304	Seed linoleic 6-1	Seed linoleic
Sat_304	Seed oleic 6-1	Seed oleic
Sat_304	Whitefly resistance 1-3	Whitefly resistance
Sat_305	SCN 39-6	SCN
Sat_308	Plant height 37-3	Plant height
Sat_308	Seed palmitic 6-4	Seed palmitic
Sat_308	Seed weight per plant 6-5	Seed weight per plant
Sat_308	Seed weight per plant 6-6	Seed weight per plant
Sat_308	Somatic emb per explant 2-4	Somatic emb per explant
Sat_309	Flood tolerance 6-3	Flood tolerance
Sat_309	Pod maturity 24-2	Pod maturity
Sat_309	Seed linoleic 6-3	Seed linoleic
Sat_309	Seed linoleic 6-9	Seed linoleic
