#ID	pathway	protein
6889118	spermidine biosynthesis	GLYMA.02G03860
6889118	spermidine biosynthesis	GLYMA.06G13210
6889118	spermidine biosynthesis	GLYMA.17G10010
6889118	spermidine biosynthesis	GLYMA.17G07830
6889118	spermidine biosynthesis	GLYMA.06G19580
6889118	spermidine biosynthesis	GLYMA.05G01890
6889118	spermidine biosynthesis	GLYMA.04G41600
6889118	spermidine biosynthesis	GLYMA.08G39810
6889118	spermidine biosynthesis	GLYMA.05G02051
6889118	spermidine biosynthesis	GLYMA.01G03830
6889118	spermidine biosynthesis	GLYMA.18G18880
6889118	spermidine biosynthesis	GLYMA.17G09870
6889087	lipid-independent phytate biosynthesis	GLYMA.18G02210
6889087	lipid-independent phytate biosynthesis	GLYMA.05G31450
6889087	lipid-independent phytate biosynthesis	GLYMA.08G14670
6889100	UDP-L-arabinose biosynthesis I (from UDP-xylose)	GLYMA.08G13540
6889100	UDP-L-arabinose biosynthesis I (from UDP-xylose)	GLYMA.09G03490
6889100	UDP-L-arabinose biosynthesis I (from UDP-xylose)	GLYMA.05G30410
6889100	UDP-L-arabinose biosynthesis I (from UDP-xylose)	GLYMA.15G14433
6889144	Salicylic acid signaling	GLYMA.09G02430
6889144	Salicylic acid signaling	GLYMA.12G09430
6889144	Salicylic acid signaling	GLYMA.05G01860
6889144	Salicylic acid signaling	GLYMA.14G03510
6889144	Salicylic acid signaling	GLYMA.19G41840
6889144	Salicylic acid signaling	GLYMA.03G39290
6889144	Salicylic acid signaling	GLYMA.11G02420
6889144	Salicylic acid signaling	GLYMA.17G04980
6889144	Salicylic acid signaling	GLYMA.05G37480
6889144	Salicylic acid signaling	GLYMA.16G03670
6889144	Salicylic acid signaling	GLYMA.01G43100
6889144	Salicylic acid signaling	GLYMA.10G29090
6889144	Salicylic acid signaling	GLYMA.08G02060
6889144	Salicylic acid signaling	GLYMA.13G17530
6889144	Salicylic acid signaling	GLYMA.12G30990
6889144	Salicylic acid signaling	GLYMA.11G19026
6889144	Salicylic acid signaling	GLYMA.18G47140
6889144	Salicylic acid signaling	GLYMA.13G39325
6889144	Salicylic acid signaling	GLYMA.02G45260
6889144	Salicylic acid signaling	GLYMA.20G38230
6889144	Salicylic acid signaling	GLYMA.15G13320
6889144	Salicylic acid signaling	GLYMA.07G07270
6889144	Salicylic acid signaling	GLYMA.17G10040
6889144	Salicylic acid signaling	GLYMA.09G39190
6889014	phaseic acid biosynthesis	GLYMA.17G36070
6889014	phaseic acid biosynthesis	GLYMA.12G22230
6889014	phaseic acid biosynthesis	GLYMA.16G20490
6889014	phaseic acid biosynthesis	GLYMA.07G33560
6889014	phaseic acid biosynthesis	GLYMA.16G08340
6889014	phaseic acid biosynthesis	GLYMA.14G09110
6889014	phaseic acid biosynthesis	GLYMA.09G35250
6889014	phaseic acid biosynthesis	GLYMA.02G14920
6889014	phaseic acid biosynthesis	GLYMA.01G35660
6889014	phaseic acid biosynthesis	GLYMA.05G03800
6889014	phaseic acid biosynthesis	GLYMA.17G14310
6889065	proanthocyanidin biosynthesis from flavanols	GLYMA.01G37810
6889065	proanthocyanidin biosynthesis from flavanols	GLYMA.11G07516
6889065	proanthocyanidin biosynthesis from flavanols	GLYMA.11G07490
6889065	proanthocyanidin biosynthesis from flavanols	GLYMA.11G07510
6889065	proanthocyanidin biosynthesis from flavanols	GLYMA.01G37820
6889065	proanthocyanidin biosynthesis from flavanols	GLYMA.1454S00200
6889065	proanthocyanidin biosynthesis from flavanols	GLYMA.11G07496
6889065	proanthocyanidin biosynthesis from flavanols	GLYMA.01G37850
6889065	proanthocyanidin biosynthesis from flavanols	GLYMA.01G37840
6888966	Cytosolic glycolysis	GLYMA.13G21540
6888966	Cytosolic glycolysis	GLYMA.02G37590
6888966	Cytosolic glycolysis	GLYMA.11G37360
6888966	Cytosolic glycolysis	GLYMA.04G09800
6888966	Cytosolic glycolysis	GLYMA.15G41550
6888966	Cytosolic glycolysis	GLYMA.10G07710
6888966	Cytosolic glycolysis	GLYMA.05G06420
6888966	Cytosolic glycolysis	GLYMA.19G22780
6888966	Cytosolic glycolysis	GLYMA.08G17600
6888966	Cytosolic glycolysis	GLYMA.14G35881
6888966	Cytosolic glycolysis	GLYMA.02G38730
6888966	Cytosolic glycolysis	GLYMA.06G09880
6888966	Cytosolic glycolysis	GLYMA.06G03560
6888966	Cytosolic glycolysis	GLYMA.14G36850
6888966	Cytosolic glycolysis	GLYMA.04G36870
6888966	Cytosolic glycolysis	GLYMA.04G03490
6888966	Cytosolic glycolysis	GLYMA.04G36860
6888966	Cytosolic glycolysis	GLYMA.03G34950
6888966	Cytosolic glycolysis	GLYMA.06G18110
6888966	Cytosolic glycolysis	GLYMA.19G02031
6888966	Cytosolic glycolysis	GLYMA.18G01330
6888966	Cytosolic glycolysis	GLYMA.06G18120
6888987	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	GLYMA.02G03540
6888987	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	GLYMA.09G31890
6888987	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	GLYMA.01G04170
6888987	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	GLYMA.09G31880
6888987	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	GLYMA.11G11960
6888987	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	GLYMA.12G04220
6888987	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	GLYMA.09G31870
6888987	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	GLYMA.13G03385
6889071	spermine biosynthesis	GLYMA.02G03860
6889071	spermine biosynthesis	GLYMA.06G13210
6889071	spermine biosynthesis	GLYMA.17G10010
6889071	spermine biosynthesis	GLYMA.17G07830
6889071	spermine biosynthesis	GLYMA.06G19580
6889071	spermine biosynthesis	GLYMA.05G01890
6889071	spermine biosynthesis	GLYMA.04G41600
6889071	spermine biosynthesis	GLYMA.08G39810
6889071	spermine biosynthesis	GLYMA.05G02051
6889071	spermine biosynthesis	GLYMA.01G03830
6889071	spermine biosynthesis	GLYMA.18G18880
6889071	spermine biosynthesis	GLYMA.17G09870
6889120	gentiodelphin biosynthesis	GLYMA.08G11340
6889120	gentiodelphin biosynthesis	GLYMA.18G00620
6889120	gentiodelphin biosynthesis	GLYMA.05G28330
6889120	gentiodelphin biosynthesis	GLYMA.08G11330
6889120	gentiodelphin biosynthesis	GLYMA.05G28340
6889094	beta-alanine biosynthesis II	GLYMA.18G43240
6889094	beta-alanine biosynthesis II	GLYMA.08G42070
6889094	beta-alanine biosynthesis II	GLYMA.18G13260
6889094	beta-alanine biosynthesis II	GLYMA.05G31390
6889094	beta-alanine biosynthesis II	GLYMA.09G32430
6889094	beta-alanine biosynthesis II	GLYMA.16G08960
6889094	beta-alanine biosynthesis II	GLYMA.03G07540
6889094	beta-alanine biosynthesis II	GLYMA.07G09370
6889094	beta-alanine biosynthesis II	GLYMA.07G18370
6889018	dolichyl-diphosphooligosaccharide biosynthesis	GLYMA.17G07620
6889018	dolichyl-diphosphooligosaccharide biosynthesis	GLYMA.10G16320
6889018	dolichyl-diphosphooligosaccharide biosynthesis	GLYMA.13G01500
6889018	dolichyl-diphosphooligosaccharide biosynthesis	GLYMA.02G34640
6889018	dolichyl-diphosphooligosaccharide biosynthesis	GLYMA.08G16980
6889078	asparagine biosynthesis III	GLYMA.18G02060
6889078	asparagine biosynthesis III	GLYMA.11G38130
6889005	vitamin E biosynthesis	GLYMA.12G01680
6889005	vitamin E biosynthesis	GLYMA.10G03590
6889005	vitamin E biosynthesis	GLYMA.10G08120
6889005	vitamin E biosynthesis	GLYMA.01G33070
6889005	vitamin E biosynthesis	GLYMA.13G00850
6889005	vitamin E biosynthesis	GLYMA.09G35680
6889005	vitamin E biosynthesis	GLYMA.17G06940
6889005	vitamin E biosynthesis	GLYMA.10G08095
6889005	vitamin E biosynthesis	GLYMA.14G03410
6889005	vitamin E biosynthesis	GLYMA.02G16210
6889005	vitamin E biosynthesis	GLYMA.02G00440
6889005	vitamin E biosynthesis	GLYMA.12G01690
6889005	vitamin E biosynthesis	GLYMA.14G35836
6889005	vitamin E biosynthesis	GLYMA.20G35420
6889005	vitamin E biosynthesis	GLYMA.13G21925
6889005	vitamin E biosynthesis	GLYMA.03G03910
6889005	vitamin E biosynthesis	GLYMA.13G21895
6889005	vitamin E biosynthesis	GLYMA.13G21911
6889005	vitamin E biosynthesis	GLYMA.10G08150
6889005	vitamin E biosynthesis	GLYMA.10G44170
6889005	vitamin E biosynthesis	GLYMA.06G08850
6889005	vitamin E biosynthesis	GLYMA.04G08750
6889005	vitamin E biosynthesis	GLYMA.20G38930
6888978	jasmonic acid biosynthesis	GLYMA.13G03790
6888978	jasmonic acid biosynthesis	GLYMA.08G03260
6888978	jasmonic acid biosynthesis	GLYMA.04G08590
6888978	jasmonic acid biosynthesis	GLYMA.13G16940
6888978	jasmonic acid biosynthesis	GLYMA.18G51600
6888978	jasmonic acid biosynthesis	GLYMA.20G11600
6888978	jasmonic acid biosynthesis	GLYMA.13G07490
6888978	jasmonic acid biosynthesis	GLYMA.11G13070
6888978	jasmonic acid biosynthesis	GLYMA.07G15360
6888978	jasmonic acid biosynthesis	GLYMA.01G00541
6888978	jasmonic acid biosynthesis	GLYMA.03G42500
6888978	jasmonic acid biosynthesis	GLYMA.11G13880
6888978	jasmonic acid biosynthesis	GLYMA.06G08700
6888978	jasmonic acid biosynthesis	GLYMA.17G36530
6888978	jasmonic acid biosynthesis	GLYMA.12G31770
6888978	jasmonic acid biosynthesis	GLYMA.07G31660
6888978	jasmonic acid biosynthesis	GLYMA.07G21100
6888978	jasmonic acid biosynthesis	GLYMA.19G45280
6888978	jasmonic acid biosynthesis	GLYMA.07G15580
6888978	jasmonic acid biosynthesis	GLYMA.08G28750
6888978	jasmonic acid biosynthesis	GLYMA.20G11680
6888978	jasmonic acid biosynthesis	GLYMA.02G26160
6888978	jasmonic acid biosynthesis	GLYMA.11G13870
6888978	jasmonic acid biosynthesis	GLYMA.01G00710
6888978	jasmonic acid biosynthesis	GLYMA.17G05770
6888978	jasmonic acid biosynthesis	GLYMA.17G05780
6888978	jasmonic acid biosynthesis	GLYMA.12G05840
6888978	jasmonic acid biosynthesis	GLYMA.01G22160
6888978	jasmonic acid biosynthesis	GLYMA.17G26230
6888978	jasmonic acid biosynthesis	GLYMA.13G16950
6888978	jasmonic acid biosynthesis	GLYMA.04G03740
6888978	jasmonic acid biosynthesis	GLYMA.19G05980
6888978	jasmonic acid biosynthesis	GLYMA.13G31280
6888978	jasmonic acid biosynthesis	GLYMA.20G11610
6888978	jasmonic acid biosynthesis	GLYMA.02G11020
6888978	jasmonic acid biosynthesis	GLYMA.16G01070
6888978	jasmonic acid biosynthesis	GLYMA.07G04480
6888978	jasmonic acid biosynthesis	GLYMA.14G08560
6889043	beta-alanine biosynthesis III	GLYMA.08G18920
6889043	beta-alanine biosynthesis III	GLYMA.02G44690
6889043	beta-alanine biosynthesis III	GLYMA.09G30320
6889043	beta-alanine biosynthesis III	GLYMA.15G06100
6889043	beta-alanine biosynthesis III	GLYMA.07G30090
6889043	beta-alanine biosynthesis III	GLYMA.14G04030
6889043	beta-alanine biosynthesis III	GLYMA.07G11890
6889004	hydroxycinnamic acid serotonin amides biosynthesis	GLYMA.07G06500
6889004	hydroxycinnamic acid serotonin amides biosynthesis	GLYMA.09G02530
6889004	hydroxycinnamic acid serotonin amides biosynthesis	GLYMA.03G32510
6889004	hydroxycinnamic acid serotonin amides biosynthesis	GLYMA.10G15250
6889004	hydroxycinnamic acid serotonin amides biosynthesis	GLYMA.15G13430
6889021	aminopropanol biosynthesis	GLYMA.19G01150
6889021	aminopropanol biosynthesis	GLYMA.05G33140
6889021	aminopropanol biosynthesis	GLYMA.08G00740
6889021	aminopropanol biosynthesis	GLYMA.19G01160
6889021	aminopropanol biosynthesis	GLYMA.08G39520
6889021	aminopropanol biosynthesis	GLYMA.12G35620
6889021	aminopropanol biosynthesis	GLYMA.06G14540
6889021	aminopropanol biosynthesis	GLYMA.13G34810
6889021	aminopropanol biosynthesis	GLYMA.04G40240
6889021	aminopropanol biosynthesis	GLYMA.19G01120
6889021	aminopropanol biosynthesis	GLYMA.16G08040
6889021	aminopropanol biosynthesis	GLYMA.19G01140
6889021	aminopropanol biosynthesis	GLYMA.18G19050
6889108	trehalose degradation II	GLYMA.12G02451
6889108	trehalose degradation II	GLYMA.17G23070
6889108	trehalose degradation II	GLYMA.01G43650
6889108	trehalose degradation II	GLYMA.11G01820
6889108	trehalose degradation II	GLYMA.11G10130
6889108	trehalose degradation II	GLYMA.05G36580
6889132	Ethylene mediated signaling	GLYMA.06G07200
6889132	Ethylene mediated signaling	GLYMA.17G15480
6889132	Ethylene mediated signaling	GLYMA.04G20330
6889132	Ethylene mediated signaling	GLYMA.05G26330
6889132	Ethylene mediated signaling	GLYMA.03G33850
6889132	Ethylene mediated signaling	GLYMA.03G34890
6889132	Ethylene mediated signaling	GLYMA.11G03910
6889132	Ethylene mediated signaling	GLYMA.19G40090
6889132	Ethylene mediated signaling	GLYMA.19G37570
6889132	Ethylene mediated signaling	GLYMA.13G23510
6889132	Ethylene mediated signaling	GLYMA.15G17000
6889132	Ethylene mediated signaling	GLYMA.10G07610
6889132	Ethylene mediated signaling	GLYMA.17G12270
6889132	Ethylene mediated signaling	GLYMA.13G20810
6889132	Ethylene mediated signaling	GLYMA.04G07110
6889132	Ethylene mediated signaling	GLYMA.17G31940
6889132	Ethylene mediated signaling	GLYMA.03G37470
6889132	Ethylene mediated signaling	GLYMA.14G14410
6889132	Ethylene mediated signaling	GLYMA.09G05710
6889132	Ethylene mediated signaling	GLYMA.02G27630
6889132	Ethylene mediated signaling	GLYMA.13G21480
6889132	Ethylene mediated signaling	GLYMA.08G09240
6889132	Ethylene mediated signaling	GLYMA.05G05180
6889132	Ethylene mediated signaling	GLYMA.10G06610
6889132	Ethylene mediated signaling	GLYMA.01G41520
6889136	arginine degradation VI (arginase 2 pathway)	GLYMA.03G03270
6889136	arginine degradation VI (arginase 2 pathway)	GLYMA.03G28476
6889136	arginine degradation VI (arginase 2 pathway)	GLYMA.01G33761
6889136	arginine degradation VI (arginase 2 pathway)	GLYMA.05G27360
6889136	arginine degradation VI (arginase 2 pathway)	GLYMA.19G31230
6889136	arginine degradation VI (arginase 2 pathway)	GLYMA.17G14040
6889136	arginine degradation VI (arginase 2 pathway)	GLYMA.01G33635
6889136	arginine degradation VI (arginase 2 pathway)	GLYMA.08G10340
6889052	fructan biosynthesis	GLYMA.12G00780
6889052	fructan biosynthesis	GLYMA.09G36580
6889052	fructan biosynthesis	GLYMA.01G41990
6889052	fructan biosynthesis	GLYMA.05G04290
6889052	fructan biosynthesis	GLYMA.06G47640
6889052	fructan biosynthesis	GLYMA.11G03360
6889052	fructan biosynthesis	GLYMA.17G14750
6889007	anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)	GLYMA.01G42350
6889007	anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)	GLYMA.11G03010
6889137	Brassinosteroid signaling	GLYMA.01G04570
6889137	Brassinosteroid signaling	GLYMA.03G36510
6889137	Brassinosteroid signaling	GLYMA.04G06900
6889137	Brassinosteroid signaling	GLYMA.13G38850
6889137	Brassinosteroid signaling	GLYMA.15G02640
6889137	Brassinosteroid signaling	GLYMA.12G01905
6889137	Brassinosteroid signaling	GLYMA.08G20830
6889137	Brassinosteroid signaling	GLYMA.19G41840
6889137	Brassinosteroid signaling	GLYMA.11G18090
6889137	Brassinosteroid signaling	GLYMA.11G11630
6889137	Brassinosteroid signaling	GLYMA.08G47900
6889137	Brassinosteroid signaling	GLYMA.09G15900
6889137	Brassinosteroid signaling	GLYMA.02G22250
6889137	Brassinosteroid signaling	GLYMA.13G42800
6889137	Brassinosteroid signaling	GLYMA.10G02760
6889137	Brassinosteroid signaling	GLYMA.08G22910
6889137	Brassinosteroid signaling	GLYMA.04G03610
6889137	Brassinosteroid signaling	GLYMA.12G33800
6889137	Brassinosteroid signaling	GLYMA.17G36730
6889137	Brassinosteroid signaling	GLYMA.06G03700
6889137	Brassinosteroid signaling	GLYMA.19G39170
6889137	Brassinosteroid signaling	GLYMA.11G06865
6889137	Brassinosteroid signaling	GLYMA.02G02990
6889137	Brassinosteroid signaling	GLYMA.13G34170
6889137	Brassinosteroid signaling	GLYMA.08G40490
6889137	Brassinosteroid signaling	GLYMA.05G28790
6889137	Brassinosteroid signaling	GLYMA.02G26650
6889137	Brassinosteroid signaling	GLYMA.12G36050
6889137	Brassinosteroid signaling	GLYMA.18G17100
6889137	Brassinosteroid signaling	GLYMA.03G39290
6889137	Brassinosteroid signaling	GLYMA.14G08320
6889137	Brassinosteroid signaling	GLYMA.08G11940
6889137	Brassinosteroid signaling	GLYMA.13G34180
6889137	Brassinosteroid signaling	GLYMA.02G17040
6889137	Brassinosteroid signaling	GLYMA.07G01440
6889137	Brassinosteroid signaling	GLYMA.01G38450
6889137	Brassinosteroid signaling	GLYMA.12G31540
6889137	Brassinosteroid signaling	GLYMA.10G29090
6889137	Brassinosteroid signaling	GLYMA.15G00880
6889137	Brassinosteroid signaling	GLYMA.12G36060
6889137	Brassinosteroid signaling	GLYMA.12G10120
6889137	Brassinosteroid signaling	GLYMA.13G36690
6889137	Brassinosteroid signaling	GLYMA.13G44420
6889137	Brassinosteroid signaling	GLYMA.20G38230
6889137	Brassinosteroid signaling	GLYMA.07G03180
6889137	Brassinosteroid signaling	GLYMA.18G53610
6889068	methionine biosynthesis II	GLYMA.13G15140
6889068	methionine biosynthesis II	GLYMA.06G35585
6889068	methionine biosynthesis II	GLYMA.12G26170
6889068	methionine biosynthesis II	GLYMA.19G29180
6889068	methionine biosynthesis II	GLYMA.03G28530
6889068	methionine biosynthesis II	GLYMA.08G30150
6889068	methionine biosynthesis II	GLYMA.19G34120
6889068	methionine biosynthesis II	GLYMA.17G24322
6889068	methionine biosynthesis II	GLYMA.05G10840
6889068	methionine biosynthesis II	GLYMA.12G33350
6889068	methionine biosynthesis II	GLYMA.14G00340
6889068	methionine biosynthesis II	GLYMA.17G23730
6889068	methionine biosynthesis II	GLYMA.04G30350
6889068	methionine biosynthesis II	GLYMA.19G31280
6889068	methionine biosynthesis II	GLYMA.06G35630
6889068	methionine biosynthesis II	GLYMA.03G31281
6889068	methionine biosynthesis II	GLYMA.20G28720
6889068	methionine biosynthesis II	GLYMA.17G24366
6889068	methionine biosynthesis II	GLYMA.16G04240
6889068	methionine biosynthesis II	GLYMA.13G37080
6889122	ammonia assimilation cycle	GLYMA.02G41106
6889122	ammonia assimilation cycle	GLYMA.14G39420
6889122	ammonia assimilation cycle	GLYMA.07G11810
6889122	ammonia assimilation cycle	GLYMA.09G30370
6889122	ammonia assimilation cycle	GLYMA.18G04660
6889122	ammonia assimilation cycle	GLYMA.02G41120
6889122	ammonia assimilation cycle	GLYMA.11G33560
6889083	thiosulfate disproportionation III (rhodanese)	GLYMA.15G41370
6889083	thiosulfate disproportionation III (rhodanese)	GLYMA.08G17760
6888997	valine biosynthesis	GLYMA.11G04870
6888997	valine biosynthesis	GLYMA.13G36730
6888997	valine biosynthesis	GLYMA.14G38840
6888997	valine biosynthesis	GLYMA.05G30130
6888997	valine biosynthesis	GLYMA.07G18570
6888997	valine biosynthesis	GLYMA.08G06766
6888997	valine biosynthesis	GLYMA.08G18830
6888997	valine biosynthesis	GLYMA.04G37270
6888997	valine biosynthesis	GLYMA.07G30500
6888997	valine biosynthesis	GLYMA.06G05280
6888997	valine biosynthesis	GLYMA.06G43546
6888997	valine biosynthesis	GLYMA.01G40420
6888997	valine biosynthesis	GLYMA.03G07380
6888997	valine biosynthesis	GLYMA.04G05190
6888997	valine biosynthesis	GLYMA.13G30490
6888997	valine biosynthesis	GLYMA.01G29190
6888997	valine biosynthesis	GLYMA.15G06185
6888997	valine biosynthesis	GLYMA.12G33760
6888997	valine biosynthesis	GLYMA.08G13290
6888997	valine biosynthesis	GLYMA.08G06773
6888997	valine biosynthesis	GLYMA.02G40530
6888997	valine biosynthesis	GLYMA.03G07300
6888997	valine biosynthesis	GLYMA.18G43460
6888997	valine biosynthesis	GLYMA.07G30510
6888997	valine biosynthesis	GLYMA.08G06751
6888997	valine biosynthesis	GLYMA.12G14420
6888997	valine biosynthesis	GLYMA.13G31470
6888997	valine biosynthesis	GLYMA.06G17790
6888997	valine biosynthesis	GLYMA.13G27810
6888997	valine biosynthesis	GLYMA.15G07860
6889092	PRPP biosynthesis I	GLYMA.05G06110
6889092	PRPP biosynthesis I	GLYMA.18G12740
6889092	PRPP biosynthesis I	GLYMA.08G42220
6889092	PRPP biosynthesis I	GLYMA.17G16400
6889092	PRPP biosynthesis I	GLYMA.02G04310
6889092	PRPP biosynthesis I	GLYMA.01G03270
6889140	Xylan Biosynthesis	GLYMA.10G05730
6889140	Xylan Biosynthesis	GLYMA.13G20080
6889140	Xylan Biosynthesis	GLYMA.04G08720
6889140	Xylan Biosynthesis	GLYMA.06G09560
6889140	Xylan Biosynthesis	GLYMA.03G33570
6889140	Xylan Biosynthesis	GLYMA.19G36280
6889140	Xylan Biosynthesis	GLYMA.04G04080
6889140	Xylan Biosynthesis	GLYMA.14G09070
6889140	Xylan Biosynthesis	GLYMA.17G36100
6889140	Xylan Biosynthesis	GLYMA.06G08820
6889029	trans-zeatin biosynthesis	GLYMA.08G48020
6889029	trans-zeatin biosynthesis	GLYMA.18G53460
6889029	trans-zeatin biosynthesis	GLYMA.10G41990
6889143	Jasmonic acid signaling	GLYMA.13G16940
6889143	Jasmonic acid signaling	GLYMA.19G44310
6889143	Jasmonic acid signaling	GLYMA.06G10290
6889143	Jasmonic acid signaling	GLYMA.03G41700
6889143	Jasmonic acid signaling	GLYMA.19G41840
6889143	Jasmonic acid signaling	GLYMA.09G05860
6889143	Jasmonic acid signaling	GLYMA.09G33730
6889143	Jasmonic acid signaling	GLYMA.16G18480
6889143	Jasmonic acid signaling	GLYMA.03G31940
6889143	Jasmonic acid signaling	GLYMA.09G05840
6889143	Jasmonic acid signaling	GLYMA.03G31920
6889143	Jasmonic acid signaling	GLYMA.10G33070
6889143	Jasmonic acid signaling	GLYMA.08G36720
6889143	Jasmonic acid signaling	GLYMA.18G04500
6889143	Jasmonic acid signaling	GLYMA.01G02251
6889143	Jasmonic acid signaling	GLYMA.18G03420
6889143	Jasmonic acid signaling	GLYMA.02G42150
6889143	Jasmonic acid signaling	GLYMA.10G00990
6889143	Jasmonic acid signaling	GLYMA.11G34940
6889143	Jasmonic acid signaling	GLYMA.05G27190
6889143	Jasmonic acid signaling	GLYMA.13G18410
6889143	Jasmonic acid signaling	GLYMA.01G12740
6889143	Jasmonic acid signaling	GLYMA.07G30140
6889143	Jasmonic acid signaling	GLYMA.10G04190
6889143	Jasmonic acid signaling	GLYMA.01G07390
6889143	Jasmonic acid signaling	GLYMA.15G17100
6889143	Jasmonic acid signaling	GLYMA.09G08290
6889143	Jasmonic acid signaling	GLYMA.09G05850
6889143	Jasmonic acid signaling	GLYMA.01G34820
6889143	Jasmonic acid signaling	GLYMA.08G10140
6889143	Jasmonic acid signaling	GLYMA.19G34696
6889143	Jasmonic acid signaling	GLYMA.20G34560
6889143	Jasmonic acid signaling	GLYMA.04G10340
6889143	Jasmonic acid signaling	GLYMA.07G06370
6889143	Jasmonic acid signaling	GLYMA.19G43815
6889143	Jasmonic acid signaling	GLYMA.10G04210
6889143	Jasmonic acid signaling	GLYMA.13G18400
6889143	Jasmonic acid signaling	GLYMA.17G05770
6889143	Jasmonic acid signaling	GLYMA.17G05780
6889143	Jasmonic acid signaling	GLYMA.16G03011
6889143	Jasmonic acid signaling	GLYMA.08G07170
6889143	Jasmonic acid signaling	GLYMA.03G39290
6889143	Jasmonic acid signaling	GLYMA.14G06740
6889143	Jasmonic acid signaling	GLYMA.13G16950
6889143	Jasmonic acid signaling	GLYMA.08G36090
6889143	Jasmonic acid signaling	GLYMA.10G29090
6889143	Jasmonic acid signaling	GLYMA.11G33720
6889143	Jasmonic acid signaling	GLYMA.03G31930
6889143	Jasmonic acid signaling	GLYMA.20G38230
6889143	Jasmonic acid signaling	GLYMA.15G17090
6889143	Jasmonic acid signaling	GLYMA.03G30590
6889143	Jasmonic acid signaling	GLYMA.09G32660
6888988	arginine biosynthesis I	GLYMA.05G34900
6888988	arginine biosynthesis I	GLYMA.06G10130
6888988	arginine biosynthesis I	GLYMA.11G04650
6888988	arginine biosynthesis I	GLYMA.07G13320
6888988	arginine biosynthesis I	GLYMA.14G02430
6888988	arginine biosynthesis I	GLYMA.01G40661
6888988	arginine biosynthesis I	GLYMA.04G03276
6888988	arginine biosynthesis I	GLYMA.08G04815
6888988	arginine biosynthesis I	GLYMA.20G28700
6888988	arginine biosynthesis I	GLYMA.17G13790
6888988	arginine biosynthesis I	GLYMA.20G01220
6888988	arginine biosynthesis I	GLYMA.06G07870
6888988	arginine biosynthesis I	GLYMA.04G07790
6888988	arginine biosynthesis I	GLYMA.05G03190
6888988	arginine biosynthesis I	GLYMA.10G40140
6888988	arginine biosynthesis I	GLYMA.05G03210
6888988	arginine biosynthesis I	GLYMA.02G46290
6888988	arginine biosynthesis I	GLYMA.04G10100
6888988	arginine biosynthesis I	GLYMA.06G03361
6888988	arginine biosynthesis I	GLYMA.07G29630
6888988	arginine biosynthesis I	GLYMA.05G26170
6888988	arginine biosynthesis I	GLYMA.08G09100
6889012	pyridoxamine anabolism	GLYMA.18G04360
6889012	pyridoxamine anabolism	GLYMA.11G33970
6889116	homocysteine biosynthesis	GLYMA.16G25350
6889116	homocysteine biosynthesis	GLYMA.16G25330
6889116	homocysteine biosynthesis	GLYMA.02G06300
6889044	geranyldiphosphate biosynthesis	GLYMA.09G01820
6889044	geranyldiphosphate biosynthesis	GLYMA.20G11177
6889044	geranyldiphosphate biosynthesis	GLYMA.17G18160
6889044	geranyldiphosphate biosynthesis	GLYMA.15G12780
6889044	geranyldiphosphate biosynthesis	GLYMA.05G21570
6889009	folate polyglutamylation II	GLYMA.13G34290
6889009	folate polyglutamylation II	GLYMA.02G41870
6889009	folate polyglutamylation II	GLYMA.14G07100
6889009	folate polyglutamylation II	GLYMA.13G34300
6889009	folate polyglutamylation II	GLYMA.18G03820
6889070	linear furanocoumarin biosynthesis	GLYMA.10G24476
6889070	linear furanocoumarin biosynthesis	GLYMA.03G36481
6889070	linear furanocoumarin biosynthesis	GLYMA.08G07520
6889070	linear furanocoumarin biosynthesis	GLYMA.13G08010
6889070	linear furanocoumarin biosynthesis	GLYMA.18G44900
6889070	linear furanocoumarin biosynthesis	GLYMA.19G39140
6889070	linear furanocoumarin biosynthesis	GLYMA.0196S50
6889070	linear furanocoumarin biosynthesis	GLYMA.12G15155
6889070	linear furanocoumarin biosynthesis	GLYMA.09G40921
6889070	linear furanocoumarin biosynthesis	GLYMA.02G26780
6888982	sterol biosynthesis	GLYMA.06G02330
6888982	sterol biosynthesis	GLYMA.03G26820
6888982	sterol biosynthesis	GLYMA.09G31890
6888982	sterol biosynthesis	GLYMA.04G02271
6888982	sterol biosynthesis	GLYMA.09G31880
6888982	sterol biosynthesis	GLYMA.13G21450
6888982	sterol biosynthesis	GLYMA.09G31870
6888982	sterol biosynthesis	GLYMA.10G11670
6888982	sterol biosynthesis	GLYMA.08G23970
6888982	sterol biosynthesis	GLYMA.12G01170
6888982	sterol biosynthesis	GLYMA.07G14460
6888982	sterol biosynthesis	GLYMA.15G43200
6888982	sterol biosynthesis	GLYMA.11G11960
6888982	sterol biosynthesis	GLYMA.12G04220
6888982	sterol biosynthesis	GLYMA.13G03385
6888982	sterol biosynthesis	GLYMA.12G01160
